strategy,algorithm,query_row_index,query_book_id,query_title,query_course_id,predicted_classes,top_result_row_index,top_result_book_id,top_result_course_id,precision@1,recall@1,f1@1,hit@1,precision@3,recall@3,f1@3,hit@3,precision@5,recall@5,f1@5,hit@5,mrr
cosine_only,,642,643,PC Entertainment เปิดโลกบันเทิงบนพีซีตัวเก่ง,24,,484,485,4,0.0,0.0,0.0,0.0,0.3333333333333333,0.09090909090909091,0.14285714285714288,1.0,0.2,0.09090909090909091,0.12500000000000003,1.0,0.3333333333333333
cosine_only,,77,78,คู่มือเรียนโครงสร้างข้อมูลและอัลกอริทึม (Data Structure and Algorithm) ฉบับสมบูรณ์ 2nd Edition,9,,55,56,7,0.0,0.0,0.0,0.0,0.3333333333333333,0.05263157894736842,0.09090909090909091,1.0,0.6,0.15789473684210525,0.25,1.0,0.3333333333333333
cosine_only,,206,207,Fundamental of Deep Learning in Practice,20,,205,206,20,1.0,0.125,0.2222222222222222,1.0,1.0,0.375,0.5454545454545454,1.0,0.8,0.5,0.6153846153846154,1.0,1.0
cosine_only,,336,337,การออกแบบฐานข้อมูลเชิงสัมพันธ์(Relational Database Design),12,,115,116,12,1.0,0.022727272727272728,0.044444444444444446,1.0,1.0,0.06818181818181818,0.1276595744680851,1.0,1.0,0.11363636363636363,0.20408163265306123,1.0,1.0
cosine_only,,245,246,คู่มือ Windows server 2008 R2 ฉบับใช้งานจริง step by step,8,,246,247,8,1.0,0.024390243902439025,0.047619047619047616,1.0,0.6666666666666666,0.04878048780487805,0.0909090909090909,1.0,0.4,0.04878048780487805,0.08695652173913045,1.0,1.0
cosine_only,,676,677,สร้างเว็บไซต์ด้วย HTML 5 ร่วมกับ CSS 3 และ jQuery,14,,177,178,17,0.0,0.0,0.0,0.0,0.3333333333333333,0.03225806451612903,0.0588235294117647,1.0,0.2,0.03225806451612903,0.05555555555555555,1.0,0.5
cosine_only,,538,539,อินไซท์ Visual basic .NET,7,,531,532,7,1.0,0.01639344262295082,0.03225806451612903,1.0,0.3333333333333333,0.01639344262295082,0.03125,1.0,0.4,0.03278688524590164,0.060606060606060615,1.0,1.0
cosine_only,,358,359,ระบบฐานข้อมูล DATABASE SYSTEMS,12,,126,127,12,1.0,0.022727272727272728,0.044444444444444446,1.0,1.0,0.06818181818181818,0.1276595744680851,1.0,1.0,0.11363636363636363,0.20408163265306123,1.0,1.0
cosine_only,,729,730,เขียนโปรแกรมเชิงวัตถุภาษา Java,7,,730,731,7,1.0,0.01639344262295082,0.03225806451612903,1.0,1.0,0.04918032786885246,0.09375,1.0,1.0,0.08196721311475409,0.1515151515151515,1.0,1.0
cosine_only,,187,188,พัฒนา Mobile App บนระบบandroid ด้วย Kotlin,18,,595,596,18,1.0,0.037037037037037035,0.07142857142857142,1.0,0.6666666666666666,0.07407407407407407,0.13333333333333333,1.0,0.8,0.14814814814814814,0.25,1.0,1.0
cosine_only,,94,95,เทคนิคการเชื่อมต่อ IoT บนแพลตฟอร์ม ไมโครคอนโทรลเลอร์ Arduino,10,,161,162,15,0.0,0.0,0.0,0.0,0.6666666666666666,0.1111111111111111,0.1904761904761905,1.0,0.6,0.16666666666666666,0.2608695652173913,1.0,0.5
cosine_only,,301,302,คู่มือใช้งาน IPhone 4S IOS5 ฉบับสมบูรณ์,4,,597,598,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.021052631578947368,0.039999999999999994,1.0,0.25
cosine_only,,33,34,เทคนิคดิจิตอล ภาคทฤษฎี,5,,35,36,5,1.0,0.125,0.2222222222222222,1.0,0.3333333333333333,0.125,0.18181818181818182,1.0,0.2,0.125,0.15384615384615385,1.0,1.0
cosine_only,,440,441,การโปรแกรมเชิงเส้นเบื้องต้น Elementary Linear Programming,6,,699,700,25,0.0,0.0,0.0,0.0,0.6666666666666666,0.05263157894736842,0.09756097560975609,1.0,0.6,0.07894736842105263,0.1395348837209302,1.0,0.5
cosine_only,,395,396,100 เรื่องต้องรู้ก่อนโตคอมพิวเตอร์และโค้ดดิ้ง,1,,731,732,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cosine_only,,409,410,การวิเคราะห์ข้อมูลโดย SAS และ SPSS,23,,408,409,23,1.0,0.02857142857142857,0.05555555555555556,1.0,1.0,0.08571428571428572,0.15789473684210528,1.0,1.0,0.14285714285714285,0.25,1.0,1.0
cosine_only,,667,668,คัมภีร์ ภาษา C เหมาะสำหรับโปรเเกรมเมอร์ และ ผู้สนใจคอมพิวเตอร์,1,,727,728,2,0.0,0.0,0.0,0.0,0.6666666666666666,0.019801980198019802,0.038461538461538464,1.0,0.8,0.039603960396039604,0.07547169811320754,1.0,0.5
cosine_only,,161,162,เทคนิคการเชื่อมต่อ IoT บนแพลตฟอร์ม ไมโครคอนโทรลเลอร์ Arduino,15,,94,95,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.13333333333333333,1.0,0.25
